Epoch,Joint,Rec,KLD
639,201.775,0.291,0.449
640,202.489,0.292,0.444
641,201.377,0.290,0.449
642,202.278,0.292,0.445
643,200.871,0.290,0.441
644,200.152,0.289,0.447
645,200.083,0.289,0.446
646,200.870,0.291,0.438
647,200.054,0.290,0.438
648,199.672,0.289,0.441
649,201.723,0.293,0.441
650,200.001,0.290,0.440
651,199.293,0.289,0.445
652,199.875,0.291,0.439
653,200.049,0.291,0.440
654,198.884,0.290,0.434
655,199.636,0.291,0.433
656,198.718,0.290,0.437
657,198.345,0.289,0.435
658,198.412,0.290,0.434
659,198.859,0.291,0.435
660,196.927,0.288,0.435
661,198.107,0.290,0.435
662,197.789,0.290,0.432
663,198.394,0.291,0.434
664,198.393,0.291,0.433
665,199.643,0.293,0.429
666,197.667,0.290,0.433
667,196.253,0.288,0.430
668,197.233,0.290,0.433
669,195.579,0.288,0.428
670,196.944,0.290,0.424
671,198.448,0.292,0.432
672,196.102,0.289,0.427
673,195.224,0.288,0.429
674,195.643,0.289,0.425
675,194.892,0.288,0.430
676,196.383,0.290,0.425
677,196.068,0.290,0.423
678,196.890,0.292,0.425
679,195.194,0.289,0.425
680,194.981,0.289,0.422
681,194.485,0.289,0.421
682,194.570,0.289,0.420
683,195.541,0.291,0.422
684,194.211,0.289,0.422
685,194.821,0.290,0.422
686,194.528,0.290,0.421
687,194.503,0.290,0.419
688,194.871,0.290,0.421
689,194.107,0.290,0.416
690,194.943,0.291,0.416
691,193.935,0.290,0.416
692,192.908,0.288,0.417
693,194.028,0.290,0.417
694,192.582,0.288,0.415
695,193.303,0.290,0.415
696,191.835,0.288,0.414
697,192.949,0.290,0.413
698,192.051,0.288,0.419
699,193.008,0.290,0.415
700,191.054,0.287,0.415
701,191.815,0.289,0.413
702,192.100,0.289,0.410
703,192.242,0.290,0.406
704,191.492,0.289,0.409
705,191.554,0.289,0.412
706,191.859,0.290,0.408
707,190.982,0.289,0.407
708,193.163,0.292,0.406
709,193.161,0.293,0.406
710,191.462,0.290,0.409
711,190.192,0.288,0.407
712,191.104,0.290,0.408
713,189.790,0.288,0.407
714,189.683,0.288,0.406
715,189.238,0.287,0.406
716,189.421,0.288,0.402
717,189.495,0.288,0.407
718,189.226,0.288,0.405
719,189.451,0.289,0.404
720,189.460,0.289,0.402
721,190.616,0.291,0.404
722,189.501,0.289,0.403
723,189.062,0.289,0.402
724,188.175,0.288,0.401
725,190.098,0.291,0.400
726,188.139,0.288,0.399
727,186.919,0.286,0.399
728,187.974,0.288,0.397
729,187.638,0.288,0.401
730,187.130,0.287,0.400
731,187.853,0.289,0.397
732,187.528,0.289,0.392
733,190.803,0.294,0.397
734,189.406,0.292,0.397
735,186.237,0.287,0.394
736,187.787,0.290,0.392
737,185.518,0.286,0.397
738,186.479,0.288,0.395
739,185.932,0.287,0.393
740,186.112,0.288,0.392
741,185.959,0.288,0.396
742,186.287,0.289,0.390
743,184.848,0.287,0.392
744,185.728,0.288,0.393
745,184.895,0.287,0.390
746,185.210,0.288,0.391
747,186.035,0.289,0.390
748,184.978,0.288,0.391
749,184.545,0.287,0.389
750,185.153,0.289,0.386
751,185.545,0.290,0.388
752,184.781,0.288,0.391
753,184.149,0.287,0.393
754,185.309,0.290,0.387
755,185.529,0.290,0.391
756,184.463,0.289,0.389
757,183.766,0.288,0.389
758,184.793,0.290,0.385
759,183.654,0.288,0.388
760,183.855,0.289,0.383
761,184.706,0.290,0.383
762,182.809,0.287,0.385
763,182.103,0.287,0.383
764,182.728,0.288,0.382
765,182.307,0.287,0.384
766,182.400,0.288,0.384
767,181.882,0.287,0.382
768,181.328,0.286,0.384
769,181.701,0.287,0.379
770,181.420,0.287,0.380
771,182.643,0.289,0.381
772,181.852,0.288,0.379
773,180.987,0.287,0.379
774,181.320,0.288,0.381
775,181.014,0.287,0.377
776,180.806,0.287,0.379
777,180.462,0.287,0.382
778,180.558,0.287,0.377
779,181.269,0.289,0.374
780,180.657,0.288,0.380
781,179.621,0.286,0.379
782,179.908,0.287,0.376
783,178.894,0.286,0.378
784,181.783,0.291,0.374
785,179.869,0.288,0.377
786,181.456,0.291,0.372
787,178.883,0.286,0.376
788,179.660,0.288,0.374
789,178.138,0.286,0.374
790,179.812,0.289,0.372
791,179.507,0.288,0.374
792,178.490,0.287,0.371
793,179.184,0.289,0.371
794,177.893,0.287,0.371
795,178.930,0.288,0.374
796,178.294,0.288,0.373
797,177.593,0.287,0.372
798,178.047,0.288,0.372
799,178.185,0.288,0.370
800,176.819,0.286,0.371
801,176.908,0.286,0.369
802,178.019,0.289,0.368
803,177.249,0.287,0.368
804,177.485,0.288,0.369
805,176.940,0.287,0.367
806,177.152,0.288,0.369
807,176.490,0.287,0.365
808,176.267,0.287,0.363
809,175.697,0.286,0.364
810,176.406,0.288,0.365
811,176.245,0.288,0.365
812,175.881,0.287,0.365
813,175.233,0.286,0.363
814,175.822,0.288,0.363
815,176.058,0.288,0.365
816,174.793,0.286,0.362
817,175.202,0.287,0.361
818,175.284,0.288,0.363
819,174.665,0.287,0.362
820,174.944,0.288,0.361
821,175.052,0.288,0.362
822,175.093,0.288,0.360
823,173.671,0.286,0.360
824,173.753,0.286,0.361
825,174.292,0.288,0.358
826,174.148,0.288,0.359
827,173.923,0.287,0.361
828,173.494,0.287,0.358
829,178.954,0.297,0.357
830,173.527,0.287,0.358
831,173.850,0.288,0.357
832,173.013,0.287,0.362
833,171.950,0.285,0.359
834,172.358,0.286,0.358
835,172.575,0.287,0.355
836,172.745,0.287,0.357
837,172.262,0.287,0.354
838,171.783,0.286,0.356
839,172.182,0.287,0.355
840,172.529,0.288,0.355
841,171.534,0.286,0.355
842,171.493,0.287,0.352
843,171.169,0.286,0.353
844,171.907,0.288,0.353
845,171.193,0.287,0.352
846,170.169,0.285,0.352
847,170.383,0.286,0.351
848,170.320,0.286,0.350
849,170.138,0.286,0.352
850,170.968,0.288,0.349
851,169.769,0.286,0.351
852,170.289,0.287,0.350
853,170.612,0.288,0.351
854,170.365,0.288,0.349
855,169.775,0.287,0.348
856,170.078,0.288,0.346
857,169.019,0.286,0.348
858,169.069,0.286,0.348
859,169.384,0.287,0.347
860,169.572,0.288,0.345
861,171.421,0.291,0.344
862,167.937,0.285,0.348
863,168.449,0.286,0.347
864,168.135,0.286,0.345
865,168.039,0.286,0.346
866,167.787,0.286,0.345
867,169.258,0.289,0.345
868,167.378,0.286,0.339
869,168.161,0.288,0.340
870,167.657,0.287,0.344
871,167.329,0.286,0.342
872,166.861,0.286,0.345
873,167.789,0.288,0.341
874,168.203,0.289,0.341
875,167.727,0.288,0.341
876,167.905,0.289,0.341
877,166.795,0.287,0.343
878,166.024,0.286,0.339
879,165.216,0.285,0.339
880,165.397,0.285,0.340
881,166.587,0.287,0.340
882,165.461,0.286,0.337
883,166.228,0.287,0.337
884,165.441,0.286,0.338
885,164.972,0.286,0.337
886,164.847,0.286,0.337
887,165.001,0.286,0.339
888,165.232,0.287,0.339
889,165.575,0.288,0.336
890,164.447,0.286,0.333
891,164.952,0.287,0.333
892,165.118,0.287,0.338
893,163.134,0.284,0.336
894,163.846,0.286,0.335
895,163.726,0.286,0.334
896,163.688,0.286,0.336
897,163.108,0.285,0.333
898,163.218,0.286,0.332
899,162.991,0.285,0.331
900,163.633,0.287,0.332
901,163.624,0.287,0.332
902,164.595,0.289,0.335
903,163.013,0.286,0.332
904,162.706,0.286,0.334
905,161.594,0.284,0.333
906,162.416,0.286,0.330
907,162.996,0.287,0.331
908,161.981,0.286,0.330
909,162.909,0.288,0.329
910,161.218,0.285,0.331
911,160.527,0.284,0.328
912,162.208,0.287,0.331
913,161.311,0.286,0.331
914,160.614,0.285,0.331
915,161.302,0.286,0.329
916,161.287,0.286,0.329
917,160.807,0.286,0.331
918,161.313,0.287,0.327
919,160.456,0.286,0.331
920,160.944,0.287,0.329
921,160.363,0.286,0.328
922,159.606,0.285,0.328
923,161.252,0.288,0.322
924,159.361,0.285,0.328
925,159.153,0.285,0.328
926,159.971,0.287,0.327
927,158.831,0.285,0.325
928,159.861,0.287,0.327
929,159.703,0.287,0.326
930,159.062,0.286,0.326
931,159.043,0.286,0.325
932,158.794,0.286,0.325
933,159.171,0.287,0.325
934,157.722,0.284,0.325
935,157.417,0.284,0.322
936,158.328,0.286,0.323
937,157.764,0.285,0.323
938,158.378,0.287,0.323
